PositionX, PositionZ
-219.3583,9.185
-219.3583,9.185
-219.3583,9.185
-219.4365,9.183626
-219.4665,9.183099
-219.4892,9.1827
-219.514,9.182265
-219.5408,9.181793
-219.5698,9.181285
-219.6008,9.18074
-219.6338,9.18016
-219.6689,9.179543
-219.706,9.178892
-219.7451,9.178205
-219.7861,9.177483
-219.8292,9.176726
-219.8743,9.175936
-219.9212,9.175111
-219.9702,9.174252
-220.021,9.173358
-220.0738,9.17243
-220.1285,9.17147
-220.1851,9.170475
-220.2141,9.169966
-220.3039,9.168387
-220.3661,9.167295
-220.4301,9.166169
-220.496,9.165011
-220.5636,9.163822
-220.6686,9.161979
-220.7408,9.16071
-220.8147,9.15941
-220.8905,9.158078
-220.968,9.156716
-221.0472,9.155324
-221.1282,9.153901
-221.2109,9.152448
-221.2953,9.150964
-221.3815,9.149449
-221.4693,9.147906
-221.5588,9.146333
-221.6499,9.144731
-221.7428,9.143099
-221.8372,9.141438
-221.9333,9.139748
-222.0311,9.138029
-222.1305,9.136282
-222.2314,9.134507
-222.334,9.132704
-222.4908,9.129947
-222.5973,9.128075
-222.7054,9.126174
-222.815,9.124247
-222.9262,9.122293
-222.9823,9.121305
-223.0958,9.11931
-223.2688,9.116268
-223.3861,9.114208
-223.5048,9.11212
-223.625,9.110005
-223.7467,9.107865
-223.8698,9.1057
-223.9944,9.103508
-224.1204,9.101291
-224.2479,9.099049
-224.3768,9.096782
-224.5072,9.094489
-224.6389,9.092172
-224.7721,9.089829
-224.9067,9.087462
-225.0426,9.085071
-225.18,9.082654
-225.3188,9.080214
-225.4589,9.077748
-225.6005,9.075259
-225.7434,9.072745
-225.8876,9.070207
-226.0333,9.067644
-226.1803,9.065058
-226.2543,9.063756
-226.4784,9.059813
-226.6295,9.057155
-226.782,9.054472
-226.9358,9.051765
-227.091,9.049035
-227.1691,9.047661
-227.3264,9.044895
-227.485,9.042105
-227.645,9.039288
-227.8063,9.036448
-227.969,9.033586
-228.1331,9.030698
-228.2986,9.027786
-228.4654,9.02485
-228.6337,9.02189
-228.8033,9.018905
-228.9743,9.015895
-229.1468,9.01286
-229.3207,9.0098
-229.496,9.006715
-229.6727,9.003605
-229.8509,9.000468
-230.0306,8.997307
-230.2117,8.994119
-230.3028,8.992515
-230.4862,8.989286
-230.6711,8.986032
-230.8575,8.98275
-231.0455,8.979442
-231.235,8.976105
-231.4262,8.97274
-231.6189,8.969347
-231.8133,8.965925
-232.0094,8.962473
-232.2073,8.95899
-232.4068,8.955477
-232.6112,8.951879
-232.8221,8.948169
-233.0368,8.944387
-233.2666,8.940342
-233.4841,8.93651
-233.6057,8.934369
-233.9532,8.928251
-234.2003,8.923901
-234.4338,8.919788
-234.6861,8.915346
-234.9269,8.911105
-235.1838,8.906581
-235.4321,8.90221
-235.6849,8.897757
-235.9389,8.893285
-236.0665,8.891036
-236.3227,8.886524
-236.5804,8.881986
-236.8394,8.877421
-237.0999,8.872834
-237.2305,8.870534
-237.493,8.86591
-237.7569,8.86126
-238.0222,8.856586
-238.2891,8.851886
-238.5574,8.847159
-238.8272,8.842406
-239.0985,8.837626
-239.3714,8.832818
-239.6457,8.827985
-239.9216,8.823124
-240.0601,8.820683
-240.3382,8.815784
-240.6178,8.810858
-240.8988,8.805907
-241.1812,8.80093
-241.4651,8.795927
-241.6076,8.793416
-241.8936,8.788377
-242.1811,8.783312
-242.4699,8.778222
-242.6148,8.775668
-242.9038,8.770576
-243.1881,8.765566
-243.4672,8.760646
-243.7425,8.755794
-244.0141,8.751008
-244.1484,8.74864
-244.4144,8.743953
-244.6766,8.739333
-244.9337,8.734802
-245.1872,8.730334
-245.3135,8.728107
-245.5661,8.723656
-245.8193,8.719193
-245.9464,8.716952
-246.2014,8.712459
-246.4577,8.70794
-246.7155,8.703396
-246.845,8.701114
-247.1051,8.696529
-247.3667,8.691916
-247.4981,8.6896
-247.7621,8.684946
-248.0278,8.680263
-248.295,8.675551
-248.4292,8.673186
-248.6988,8.668434
-248.9699,8.663653
-249.106,8.661254
-249.3794,8.656432
-249.6544,8.651585
-249.9309,8.646709
-250.2089,8.641809
-250.4883,8.636881
-250.6286,8.634407
-250.9103,8.62944
-251.1934,8.624449
-251.3355,8.621943
-251.6207,8.616913
-251.9074,8.611857
-252.1955,8.606778
-252.34,8.60423
-252.6301,8.599113
-252.9216,8.593973
-253.0679,8.591394
-253.3614,8.586218
-253.6562,8.581018
-253.8042,8.578409
-254.101,8.573175
-254.399,8.567918
-254.5486,8.56528
-254.8486,8.559989
-255.1499,8.554676
-255.301,8.552011
-255.6042,8.546665
-255.9086,8.541296
-256.0612,8.538604
-256.3674,8.533203
-256.6747,8.527781
-256.9833,8.522338
-257.1381,8.519609
-257.4484,8.514135
-257.7599,8.50864
-257.9161,8.505884
-258.2292,8.50036
-258.5435,8.494816
-258.7011,8.492036
-259.0171,8.486463
-259.3342,8.480869
-259.6523,8.475257
-259.8118,8.472444
-260.1316,8.466802
-260.2919,8.463973
-260.6132,8.458303
-260.9356,8.452616
-261.0972,8.449765
-261.4211,8.444049
-261.7461,8.438316
-261.9089,8.435443
-262.2354,8.429684
-262.5628,8.423905
-262.7269,8.42101
-263.0558,8.415206
-263.3857,8.409386
-263.7164,8.403549
-263.8822,8.400624
-264.2144,8.394761
-264.3809,8.391824
-264.7145,8.385937
-265.049,8.380033
-265.2167,8.377074
-265.5526,8.371146
-265.7208,8.368176
-266.0581,8.362225
-266.3961,8.356257
-266.5655,8.353268
-266.9049,8.347278
-267.0749,8.344277
-267.4156,8.338264
-267.7571,8.332235
-267.9282,8.329216
-268.271,8.323166
-268.4427,8.320135
-268.7867,8.314064
-269.1315,8.307978
-269.3042,8.30493
-269.6502,8.298821
-269.997,8.2927
-270.1707,8.289634
-270.5186,8.283491
-270.6929,8.280415
-271.042,8.274252
-271.2169,8.271166
-271.5671,8.264983
-271.9181,8.258787
-272.0938,8.255684
-272.4459,8.249469
-272.7986,8.24324
-272.9753,8.240122
-273.3292,8.233874
-273.5064,8.230745
-273.8613,8.224479
-274.2169,8.2182
-274.395,8.215055
-274.7516,8.208758
-274.9302,8.205606
-275.2878,8.19929
-275.4669,8.196128
-275.8256,8.189795
-276.0052,8.186625
-276.3648,8.180274
-276.5449,8.177094
-276.9055,8.170727
-277.2668,8.164348
-277.4477,8.161154
-277.8099,8.154757
-277.9912,8.151554
-278.357,8.145094
-278.5411,8.141843
-278.9072,8.135377
-279.096,8.132043
-279.4626,8.125566
-279.6513,8.122234
-280.0093,8.11591
-280.1915,8.11269
-280.5804,8.105821
-280.7654,8.102552
-281.1417,8.095905
-281.3315,8.092553
-281.6934,8.086159
-281.8882,8.082717
-282.2661,8.076042
-282.4509,8.072777
-282.8448,8.065819
-283.0328,8.062496
-283.4124,8.05579
-283.603,8.052423
-283.9768,8.045818
-284.1701,8.042403
-284.5462,8.035757
-284.7309,8.032494
-285.1145,8.025715
-285.298,8.022472
-285.67,8.015898
-285.8568,8.012596
-286.2198,8.00618
-286.4032,8.002938
-286.5855,7.999716
-286.9449,7.993365
-287.1236,7.990205
-287.302,7.987052
-287.6555,7.980803
-288.0058,7.974612
-288.1794,7.971542
-288.3527,7.968479
-288.6963,7.962401
-288.8667,7.959388
-289.2055,7.953397
-289.3739,7.950419
-289.5411,7.947463
-289.8735,7.941585
-290.0386,7.938664
-290.3662,7.932872
-290.5286,7.93
-290.8514,7.924291
-291.0117,7.921456
-291.171,7.918638
-291.4875,7.913041
-291.6447,7.91026
-291.9566,7.904745
-292.2654,7.899283
-292.4186,7.896573
-292.7229,7.89119
-292.874,7.888518
-293.1738,7.883214
-293.3225,7.880583
-293.618,7.875357
-293.9105,7.870182
-294.0557,7.867613
-294.2002,7.865057
-294.487,7.859983
-294.6294,7.857464
-294.9119,7.852465
-295.0522,7.849984
-295.3306,7.845058
-295.4688,7.842613
-295.7431,7.837759
-296.0147,7.832953
-296.1495,7.830568
-296.2837,7.828195
-296.55,7.823483
-296.8137,7.818817
-296.9445,7.816502
